address,Time of first deposit on Arbitrum mainnet,Amount of first deposit on Arbitrum mainnet,Last transaction time on Arbitrum mainnet,,,,,,,,,,,,,,,,,,,,,,
0x3086245bbc0e6f60b5219b3d559dcfd315218b12,2023-07-01 16:48:45.000 UTC,0.03,2023-10-09 03:25:23.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xe3f83305e214ac6b31eba7bed664d6c3e98381f1,2023-07-01 16:49:00.000 UTC,0.03,2023-10-09 03:25:47.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x69f62197347dfec5ca3d7a3fee709aa3bb6c2815,2023-07-01 16:49:16.000 UTC,0.03,2023-10-09 03:25:23.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xa0e75c943d92d3a8e40cab966fb93646c0acd91c,2023-07-01 16:51:26.000 UTC,0.03,2023-10-09 03:31:59.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x112e9044cd35a825b50a3329be91da2436fe49bd,2023-07-01 16:51:49.000 UTC,0.03,2023-10-09 03:31:59.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xf3ec9aa4d2d892506564c3b0bae50a9a52ca68e6,2023-07-01 16:52:06.000 UTC,0.03,2023-10-09 03:32:11.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x0900de47072e452e48842b51f9dc70a719f07db5,2023-07-01 16:52:23.000 UTC,0.03,2023-10-09 03:31:59.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x9805d39d5ee6cee34ea293e97ee1d8d8d0cef97d,2023-07-01 16:52:49.000 UTC,0.03,2023-10-09 03:46:11.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x0349cfba5dde07a3dce9ef47b986c73872f19bc2,2023-07-01 16:53:04.000 UTC,0.03,2023-10-09 03:47:23.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xd551cc5659deece78b870e3038c3a590fb2201ba,2023-07-01 16:53:20.000 UTC,0.03,2023-10-09 03:46:59.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x81b972917be94881eb9c525a3637fad9db26fe1d,2023-07-01 16:53:39.000 UTC,0.03,2023-10-09 03:47:23.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xd6215cf12ad885a4092e9925c7c3f89c8e240faf,2023-07-01 16:54:01.000 UTC,0.03,2023-10-09 03:46:23.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xf4c856e2a4594e883ab39d8d8302f3307a022556,2023-07-01 16:55:45.000 UTC,0.03,2023-10-09 03:54:59.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xb3fa0d06c12471a58fb5eb61150379663b918e98,2023-07-01 16:56:01.000 UTC,0.03,2023-10-09 03:54:59.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xcb489903e4b1133d0de1b58462ba9123400ba53a,2023-07-01 16:56:16.000 UTC,0.03,2023-10-09 03:55:11.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x705094eea732f17f8f14b9f2aa4bf25984d2f561,2023-07-01 16:56:33.000 UTC,0.03,2023-10-09 03:54:47.000 UTC,,,,,,,,,,,,,,,,,,,,,,
